Designator,Mid X,Mid Y,Rotation,Layer
U18,107.37,-37.425,270.0,top
U180,192.525,-149.125,270.0,top
U181,198.655,-146.465,180.0,top
U182,201.795,-151.015,180.0,top
U183,205.62,-152.99,270.0,top
U184,206.4,-150.99,270.0,top
U185,198.105,-157.255,180.0,top
U186,197.255,-159.195,0.0,top
U187,191.705,-156.885,0.0,top
U188,189.97,-166.41,0.0,top
U189,189.925,-164.015,0.0,top
U19,111.78,-30.84,270.0,top
U190,187.425,-154.535,0.0,top
U191,182.24,-147.33,0.0,top
U192,178.82,-146.87,0.0,top
U193,174.92,-148.82,0.0,top
U194,156.33,-140.46,90.0,top
U195,154.55,-143.67,180.0,top
U196,157.7,-143.69,180.0,top
U197,159.785,-147.755,90.0,top
U198,158.39,-151.62,90.0,top
U199,156.37,-153.41,90.0,top
U2,69.995,-22.965,180.0,top
U20,115.89,-31.62,180.0,top
U200,156.91,-155.92,180.0,top
U201,157.04,-160.84,180.0,top
U202,148.56,-165.33,0.0,top
U203,145.04,-167.55,0.0,top
U204,144.03,-164.94,0.0,top
U205,134.99,-156.08,0.0,top
U206,127.78,-148.94,0.0,top
U207,113.03,-157.77,90.0,top
U208,110.915,-158.415,0.0,top
U209,108.89,-156.4,0.0,top
U21,116.11,-36.63,180.0,top
U210,106.625,-157.375,90.0,top
U211,103.685,-156.605,0.0,top
U212,95.555,-155.895,180.0,top
U213,94.565,-158.195,90.0,top
U214,91.235,-156.135,0.0,top
U215,88.445,-156.835,0.0,top
U216,83.445,-158.415,0.0,top
U217,86.315,-154.695,270.0,top
U218,88.475,-150.585,0.0,top
U219,91.995,-146.795,0.0,top
U22,115.4,-39.34,90.0,top
U220,92.075,-144.395,270.0,top
U221,91.025,-142.605,0.0,top
U222,92.97,-140.62,270.0,top
U223,63.75,-150.01,0.0,top
U224,59.44,-147.14,0.0,top
U225,63.91,-145.24,0.0,top
U226,65.93,-141.68,0.0,top
U227,62.19,-143.18,0.0,top
U228,56.745,-145.255,0.0,top
U229,52.12,-145.55,0.0,top
U23,117.22,-28.59,0.0,top
U230,47.205,-140.745,0.0,top
U231,50.465,-139.925,270.0,top
U232,48.165,-150.375,90.0,top
U233,43.33,-151.58,90.0,top
U234,40.27,-155.44,90.0,top
U235,38.35,-160.38,180.0,top
U236,40.865,-161.285,180.0,top
U237,56.325,-152.365,180.0,top
U238,54.295,-156.835,90.0,top
U239,53.695,-159.845,90.0,top
U24,121.19,-27.19,270.0,top
U240,63.155,-181.865,180.0,top
U241,65.355,-188.655,180.0,top
U242,69.925,-195.265,180.0,top
U243,78.175,-199.085,180.0,top
U244,77.355,-203.775,180.0,top
U245,87.055,-204.525,270.0,top
U246,86.685,-199.175,270.0,top
U247,105.12,-190.25,180.0,top
U248,105.77,-195.98,180.0,top
U249,113.425,-190.395,180.0,top
U25,124.17,-26.34,180.0,top
U250,118.605,-191.835,180.0,top
U251,111.005,-196.335,180.0,top
U252,111.145,-199.505,180.0,top
U253,120.805,-200.135,270.0,top
U254,123.645,-195.915,0.0,top
U255,128.925,-192.825,0.0,top
U256,126.465,-189.095,0.0,top
U257,124.915,-182.515,270.0,top
U258,132.765,-192.255,180.0,top
U259,135.715,-185.135,270.0,top
U26,122.185,-31.745,180.0,top
U260,139.195,-186.455,180.0,top
U261,138.485,-190.275,180.0,top
U262,154.105,-186.045,180.0,top
U263,160.485,-186.145,180.0,top
U264,164.505,-194.085,180.0,top
U265,175.185,-191.575,180.0,top
U266,181.535,-197.535,180.0,top
U267,36.435001,-181.545001,180.0,top
U27,123.9,-36.1,225.0,top
U28,130.41,-30.5,180.0,top
U29,137.955,-33.335,180.0,top
U3,72.59,-28.99,135.0,top
U30,152.52,-34.26,270.0,top
U31,155.0,-34.26,180.0,top
U32,159.72,-34.36,180.0,top
U33,155.72,-36.35,90.0,top
U34,166.76,-33.76,270.0,top
U35,176.99,-31.1,270.0,top
U36,166.11,-26.59,0.0,top
U37,162.975,-26.115,0.0,top
U38,180.32,-30.81,180.0,top
U39,181.33,-34.56,90.0,top
U4,70.96,-31.33,90.0,top
U40,181.82,-37.12,180.0,top
U41,183.02,-62.63,0.0,top
U42,180.3,-61.36,0.0,top
U43,177.75,-62.28,90.0,top
U44,177.375,-65.665,180.0,top
U45,180.295,-66.405,180.0,top
U46,180.77,-68.8,180.0,top
U47,184.7,-70.68,180.0,top
U48,189.7,-75.95,180.0,top
U49,194.72,-74.59,180.0,top
U5,68.365,-33.895,90.0,top
U50,197.28,-76.23,180.0,top
U51,205.96,-75.02,180.0,top
U52,201.565,-81.645,90.0,top
U53,191.135,-80.065,0.0,top
U54,188.235,-83.445,90.0,top
U55,180.61,-78.55,0.0,top
U56,155.25,-75.65,90.0,top
U57,153.46,-77.88,90.0,top
U58,148.935,-78.125,0.0,top
U59,146.335,-68.805,0.0,top
U6,64.57,-27.63,0.0,top
U60,137.21,-58.85,0.0,top
U61,137.27,-73.64,180.0,top
U62,142.805,-76.475,180.0,top
U63,145.955,-83.325,90.0,top
U64,141.81,-83.38,90.0,top
U65,140.435,-85.535,90.0,top
U66,138.145,-82.935,0.0,top
U67,113.33,-74.31,0.0,top
U68,104.465,-82.185,0.0,top
U69,101.035,-79.555,0.0,top
U7,60.135,-25.525,90.0,top
U70,98.6,-72.21,0.0,top
U71,89.845,-73.015,0.0,top
U72,83.07,-63.49,0.0,top
U73,65.76,-63.25,0.0,top
U74,63.645,-64.215,0.0,top
U75,50.95,-69.71,90.0,top
U76,51.285,-73.565,90.0,top
U77,40.945,-69.295,0.0,top
U78,38.265,-68.635,90.0,top
U79,39.755,-72.585,180.0,top
U8,69.515,-45.315,180.0,top
U80,42.24,-73.49,180.0,top
U81,44.835,-77.775,180.0,top
U82,55.075,-83.965,270.0,top
U83,56.64,-81.46,0.0,top
U84,64.44,-66.68,0.0,top
U85,43.29,-98.45,90.0,top
U86,41.135,-102.795,90.0,top
U87,39.25,-111.38,90.0,top
U88,33.68,-119.53,90.0,top
U89,29.625,-120.815,0.0,top
U9,72.1,-44.78,270.0,top
U90,27.01,-118.48,0.0,top
U91,22.7,-114.6,0.0,top
U92,21.07,-108.45,0.0,top
U93,18.84,-107.09,0.0,top
U94,12.455,-105.185,90.0,top
U95,13.2,-109.03,90.0,top
U96,16.625,-121.195,90.0,top
U97,14.615,-125.565,180.0,top
U98,18.4,-125.83,270.0,top
U99,18.54,-123.16,0.0,top
mouse-bite-2mm-slot_70,40.614487,-52.59,30.0,top
mouse-bite-2mm-slot_69,29.184998,-152.179998,90.0,top
mouse-bite-2mm-slot_68,121.14836,-152.158306,270.0,top
mouse-bite-2mm-slot_67,86.630124,-52.570324,210.0,top
mouse-bite-2mm-slot_66,178.664894,-132.228734,210.0,top
mouse-bite-2mm-slot_65,132.65611,-132.229655,210.0,top
mouse-bite-2mm-slot_64,132.665239,-172.065478,150.0,top
mouse-bite-2mm-slot_63,190.165002,-32.590001,270.0,top
mouse-bite-2mm-slot_62,144.146531,-112.311008,270.0,top
mouse-bite-2mm-slot_61,178.702125,-172.02156,150.0,top
mouse-bite-2mm-slot_60,63.62667,-172.118472,30.0,top
mouse-bite-2mm-slot_59,178.665145,-92.387849,330.0,top
mouse-bite-2mm-slot_58,86.64975,-172.085621,150.0,top
mouse-bite-2mm-slot_57,155.724484,-211.920001,150.0,top
mouse-bite-2mm-slot_56,190.165589,-112.307849,270.0,top
mouse-bite-2mm-slot_55,121.137872,-72.478831,270.0,top
mouse-bite-2mm-slot_54,201.734488,-52.509998,330.0,top
mouse-bite-2mm-slot_53,86.604487,-12.72,330.0,top
mouse-bite-2mm-slot_52,98.139698,-112.32614,270.0,top
mouse-bite-2mm-slot_51,86.639259,-92.406137,150.0,top
mouse-bite-2mm-slot_50,63.641087,-132.253445,150.0,top
mouse-bite-2mm-slot_49,224.684488,-92.319998,330.0,top
mouse-bite-2mm-slot_48,155.647817,-52.560688,330.0,top
mouse-bite-2mm-slot_47,178.73521,-52.525631,30.0,top
mouse-bite-2mm-slot_46,29.194998,-72.479998,90.0,top
mouse-bite-2mm-slot_45,109.637424,-52.558837,330.0,top
mouse-bite-2mm-slot_44,132.638918,-52.569388,30.0,top
mouse-bite-2mm-slot_43,52.264998,-191.979998,90.0,top
mouse-bite-2mm-slot_42,190.145002,-191.940001,270.0,top
mouse-bite-2mm-slot_41,86.714486,-211.910002,210.0,top
mouse-bite-2mm-slot_40,167.16385,-152.138171,270.0,top
mouse-bite-2mm-slot_39,155.647574,-92.401565,210.0,top
